"ID","default_flag","pred_br","score_pd","QTR","score_date","score_year","BAND","current_balance","MONTH","feature1_wt","feature2_wt"
"168","0","0.61885","0.632414","2","09-11-2019","2019","6","68991","11","0","0"
"169","0","0.324624","0.311443","4","04-09-2019","2019","3","67600","9","0","0"
"170","0","0.389619","0.39217","3","22-04-2019","2019","4","2291","4","0","0"
"171","0","0.149289","0.157967","3","14-02-2019","2019","2","33493","2","0","0"
"172","1","0.865539","0.87478","3","12-03-2019","2019","9","18936","3","0","0"
"173","1","0.514277","0.516898","2","10-02-2019","2019","5","49978","2","0","0"
"174","1","0.644027","0.653238","4","06-08-2019","2019","7","88434","8","0","0"
"175","1","0.368143","0.380865","3","15-08-2019","2019","4","85038","8","0","0"
"176","1","0.462114","0.461503","2","10-07-2019","2019","5","4934","7","0","0"
"177","0","0.161203","0.150007","3","06-05-2019","2019","2","27701","5","0","0"
"178","0","0.165894","0.149049","4","23-02-2019","2019","1","53156","2","0","0"
"179","0","0.183761","0.197536","1","03-03-2019","2019","2","5444","3","0","0"
"180","1","0.655382","0.650413","4","17-07-2019","2019","7","55132","7","0","0"
"181","0","0.25249","0.239164","4","30-12-2019","2019","2","79396","12","0","0"
"182","1","0.50636","0.4922","2","15-04-2019","2019","5","11171","4","0","0"
"183","0","0.142847","0.128205","4","30-03-2019","2019","1","95061","3","0","0"
"184","1","0.418893","0.404289","2","02-02-2019","2019","4","23931","2","0","0"
"185","0","0.433677","0.450453","4","03-11-2019","2019","5","66106","11","0","0"
"186","0","0.431254","0.446536","3","23-09-2019","2019","4","59390","9","0","0"
"187","0","0.351115","0.350422","2","13-05-2019","2019","4","87348","5","0","0"
"188","1","0.787509","0.795496","1","19-05-2019","2019","8","1495","5","0","0"
"189","0","0.341231","0.334165","3","21-10-2019","2019","3","96395","10","0","0"
"190","0","0.144212","0.134645","2","16-06-2019","2019","1","47668","6","0","0"
"191","1","0.479333","0.497394","1","11-06-2019","2019","5","32294","6","0","0"
"192","1","0.53262","0.513004","4","24-05-2019","2019","5","80898","5","0","0"
"193","1","0.739381","0.752932","2","29-07-2019","2019","8","41915","7","0","0"
"194","1","0.863495","0.865635","4","07-01-2019","2019","9","37479","1","0","0"
"195","1","0.675621","0.681769","4","14-08-2019","2019","7","92253","8","0","0"
"196","1","0.702186","0.717119","1","21-08-2019","2019","7","79440","8","0","0"
"197","1","0.739272","0.722411","1","03-07-2019","2019","7","81467","7","0","0"
"198","0","0.104492","0.122591","4","18-11-2019","2019","1","4990","11","0","0"
"199","1","0.772347","0.771165","4","10-12-2019","2019","8","45507","12","0","0"
"200","0","0.203123","0.192891","1","01-01-2019","2019","2","63180","1","0","0"
"201","1","0.406977","0.422068","2","25-12-2019","2019","4","41900","12","0","0"
"202","0","0.645081","0.627731","1","05-06-2019","2019","6","9200","6","0","0"
"203","1","0.334156","0.332605","4","24-08-2019","2019","3","49318","8","0","0"
"204","1","0.746825","0.733406","2","22-07-2019","2019","7","25838","7","0","0"
"205","1","0.874237","0.879654","4","18-09-2019","2019","9","65178","9","0","0"
"206","1","0.659059","0.646551","4","11-08-2019","2019","6","63259","8","0","0"
"207","0","0.129466","0.14335","4","10-09-2019","2019","1","71711","9","0","0"
"208","1","0.726957","0.725814","2","02-01-2019","2019","7","75734","1","0","0"
"209","1","0.850842","0.854273","1","09-06-2019","2019","9","59777","6","0","0"
"210","1","0.308953","0.319953","4","28-01-2019","2019","3","98407","1","0","0"
"211","1","0.798856","0.789412","3","11-02-2019","2019","8","63683","2","0","0"
"212","1","0.266807","0.247672","3","11-11-2019","2019","2","7486","11","0","0"
"213","0","0.573223","0.568386","4","25-02-2019","2019","6","6934","2","0","0"
"214","1","0.701232","0.719421","3","18-07-2019","2019","7","94760","7","0","0"
"215","1","0.447723","0.439653","1","28-06-2019","2019","4","69261","6","0","0"
"216","0","0.27742","0.26329","2","06-10-2019","2019","3","98742","10","0","0"
"217","0","0.181888","0.177112","1","17-07-2019","2019","2","55723","7","0","0"
"218","0","0.196168","0.184033","2","10-10-2019","2019","2","21756","10","0","0"
"219","1","0.729676","0.715104","3","09-02-2019","2019","7","8851","2","0","0"
"220","1","0.70477","0.685448","4","20-01-2019","2019","7","70679","1","0","0"
"221","1","0.543542","0.535434","1","11-12-2019","2019","5","62305","12","0","0"
"222","1","0.184116","0.194842","1","08-08-2019","2019","2","54139","8","0","0"
"223","0","0.310419","0.32669","3","21-09-2019","2019","3","47750","9","0","0"
"224","1","0.797676","0.77835","2","04-08-2019","2019","8","25230","8","0","0"
"225","1","0.846976","0.839008","1","08-06-2019","2019","8","47331","6","0","0"
"226","0","0.335854","0.347142","3","28-07-2019","2019","3","98034","7","0","0"
"227","0","0.79602","0.791388","3","09-07-2019","2019","8","92628","7","0","0"
"228","1","0.408447","0.406635","1","23-11-2019","2019","4","34589","11","0","0"
"229","1","0.752638","0.755583","1","01-08-2019","2019","8","75833","8","0","0"
"230","1","0.266336","0.262016","4","27-12-2019","2019","3","83919","12","0","0"
"231","1","0.778228","0.771572","2","21-04-2019","2019","8","20805","4","0","0"
"232","0","0.163404","0.149082","4","04-05-2019","2019","1","40210","5","0","0"
"233","0","0.216679","0.2026","3","18-08-2019","2019","2","32338","8","0","0"
"234","1","0.336864","0.321183","1","05-04-2019","2019","3","28388","4","0","0"
"235","0","0.194285","0.184977","2","28-12-2019","2019","2","81706","12","0","0"
"236","1","0.816241","0.798189","3","06-09-2019","2019","8","34978","9","0","0"
"237","1","0.847839","0.841648","3","10-09-2019","2019","8","38591","9","0","0"
"238","0","0.302263","0.287716","4","16-12-2019","2019","3","84231","12","0","0"
"239","1","0.880222","0.866172","3","02-12-2019","2019","9","28877","12","0","0"
"240","1","0.873667","0.864889","2","06-03-2019","2019","9","70525","3","0","0"
"241","1","0.625798","0.643954","3","19-08-2019","2019","6","57074","8","0","0"
"242","0","0.413957","0.407412","1","11-09-2019","2019","4","47471","9","0","0"
"243","0","0.179811","0.185831","2","15-12-2019","2019","2","40936","12","0","0"
"244","0","0.429909","0.436228","1","29-10-2019","2019","4","24616","10","0","0"
"245","1","0.737936","0.737865","4","09-05-2019","2019","7","23214","5","0","0"
"246","1","0.290905","0.289814","3","26-10-2019","2019","3","27177","10","0","0"
"247","1","0.349824","0.366618","2","23-04-2019","2019","4","92468","4","0","0"
"248","1","0.723056","0.738788","4","28-01-2019","2019","7","46751","1","0","0"
"249","1","0.446783","0.437043","3","08-11-2019","2019","4","33901","11","0","0"
"250","0","0.745045","0.75363","1","24-03-2019","2019","8","66158","3","0","0"
"251","0","0.455672","0.461185","1","22-05-2019","2019","5","56404","5","0","0"
"252","1","0.657409","0.639096","1","07-12-2019","2019","6","21771","12","0","0"
"253","0","0.817531","0.835081","1","14-06-2019","2019","8","65852","6","0","0"
"254","0","0.82548","0.826731","3","24-05-2019","2019","8","47498","5","0","0"
"255","1","0.576814","0.588609","3","26-12-2019","2019","6","92301","12","0","0"
"256","1","0.297363","0.313571","2","09-01-2019","2019","3","28104","1","0","0"
"257","0","0.836886","0.835806","4","04-11-2019","2019","8","67187","11","0","0"
"258","0","0.443306","0.446313","4","12-02-2019","2019","4","94266","2","0","0"
"259","0","0.205845","0.220104","2","30-08-2019","2019","2","63957","8","0","0"
"260","0","0.643393","0.648232","3","03-03-2019","2019","6","23132","3","0","0"
"261","0","0.122345","0.133565","2","14-04-2019","2019","1","99328","4","0","0"
"262","1","0.804878","0.82054","1","05-01-2019","2019","8","10195","1","0","0"
"263","1","0.707173","0.687387","4","11-02-2019","2019","7","57912","2","0","0"
"264","0","0.695588","0.679615","4","07-09-2019","2019","7","6739","9","0","0"
"265","1","0.694802","0.692871","4","23-03-2019","2019","7","54532","3","0","0"
"266","0","0.811381","0.801765","4","26-12-2019","2019","8","40448","12","0","0"
"267","0","0.302136","0.300775","2","29-07-2019","2019","3","84776","7","0","0"
"268","1","0.371313","0.366142","3","18-07-2019","2019","4","59625","7","0","0"
"269","0","0.763107","0.751058","2","14-11-2019","2019","8","40478","11","0","0"
"270","0","0.197849","0.178874","3","18-08-2019","2019","2","46170","8","0","0"
"271","0","0.222857","0.239874","3","22-02-2019","2019","2","95347","2","0","0"
"272","1","0.450575","0.467652","1","11-06-2019","2019","5","10711","6","0","0"
"273","1","0.16128","0.153397","2","21-03-2019","2019","2","82764","3","0","0"
"274","0","0.628743","0.61887","2","14-01-2019","2019","6","74560","1","0","0"
"275","1","0.492689","0.512486","4","05-10-2019","2019","5","91559","10","0","0"
"276","1","0.656307","0.651387","2","11-04-2019","2019","7","30968","4","0","0"
"277","0","0.580078","0.583309","3","17-01-2019","2019","6","18555","1","0","0"
"278","1","0.596652","0.61352","4","12-11-2019","2019","6","35907","11","0","0"
"279","0","0.249786","0.250225","2","21-08-2019","2019","3","12368","8","0","0"
"280","1","0.530962","0.533142","1","19-12-2019","2019","5","93343","12","0","0"
"281","0","0.483329","0.464425","3","14-03-2019","2019","5","28307","3","0","0"
"282","0","0.713664","0.703926","1","21-01-2019","2019","7","76534","1","0","0"
"283","0","0.866601","0.866641","1","17-11-2019","2019","9","54078","11","0","0"
"284","1","0.283019","0.2643","1","18-04-2019","2019","3","77367","4","0","0"
"285","1","0.719494","0.700721","2","30-08-2019","2019","7","51135","8","0","0"
"286","0","0.153357","0.169309","4","25-10-2019","2019","2","43591","10","0","0"
"287","1","0.669149","0.673658","3","07-07-2019","2019","7","62014","7","0","0"
"288","0","0.835816","0.836116","3","09-12-2019","2019","8","22932","12","0","0"
"289","0","0.152075","0.170106","2","24-02-2019","2019","2","43270","2","0","0"
"290","0","0.185998","0.179402","4","11-04-2019","2019","2","28539","4","0","0"
"291","0","0.518151","0.533395","2","19-02-2019","2019","5","77843","2","0","0"
"292","1","0.17423","0.178549","2","26-06-2019","2019","2","84210","6","0","0"
"293","1","0.576917","0.588852","3","12-02-2019","2019","6","44304","2","0","0"
"294","1","0.866728","0.871582","1","08-10-2019","2019","9","59180","10","0","0"
"295","0","0.306771","0.288848","1","17-10-2019","2019","3","85118","10","0","0"
"296","0","0.181566","0.166542","3","22-02-2019","2019","2","62183","2","0","0"
"297","0","0.504931","0.521431","3","04-01-2019","2019","5","68779","1","0","0"
"298","0","0.633719","0.627515","1","16-05-2019","2019","6","77737","5","0","0"
"299","0","0.609747","0.625925","1","31-03-2019","2019","6","9478","3","0","0"
"300","1","0.563889","0.581993","3","07-01-2019","2019","6","68557","1","0","0"
"301","0","0.124196","0.137072","4","13-04-2019","2019","1","12261","4","0","0"
"302","1","0.772723","0.766298","2","21-05-2019","2019","8","78413","5","0","0"
"303","1","0.84996","0.832688","2","04-04-2019","2019","8","38379","4","0","0"
"304","0","0.77493","0.783879","1","18-07-2019","2019","8","5716","7","0","0"
"305","1","0.821813","0.832569","4","11-11-2019","2019","8","95793","11","0","0"
"306","1","0.339401","0.343712","2","12-04-2019","2019","3","85921","4","0","0"
"307","0","0.477759","0.495826","4","16-06-2019","2019","5","97378","6","0","0"
"308","1","0.746811","0.736535","1","01-04-2019","2019","7","48755","4","0","0"
"309","1","0.170816","0.152689","4","19-09-2019","2019","2","6705","9","0","0"
"310","1","0.282537","0.284779","3","04-02-2019","2019","3","46347","2","0","0"
"311","1","0.485216","0.480761","2","11-04-2019","2019","5","29685","4","0","0"
"312","0","0.235878","0.221553","3","30-06-2019","2019","2","26135","6","0","0"
"313","0","0.179579","0.182075","3","25-02-2019","2019","2","65357","2","0","0"
"314","1","0.776522","0.767414","3","18-05-2019","2019","8","91780","5","0","0"
"315","1","0.308426","0.310252","1","15-12-2019","2019","3","84869","12","0","0"
"316","0","0.616945","0.614512","3","23-06-2019","2019","6","65082","6","0","0"
"317","1","0.613468","0.60012","4","13-03-2019","2019","6","68366","3","0","0"
"318","1","0.869162","0.872483","2","15-05-2019","2019","9","25091","5","0","0"
"319","0","0.606134","0.60798","3","03-11-2019","2019","6","63251","11","0","0"
"320","0","0.136793","0.138978","3","22-07-2019","2019","1","55197","7","0","0"
"321","0","0.286376","0.273061","3","16-04-2019","2019","3","89658","4","0","0"
"322","0","0.535002","0.518225","1","03-02-2019","2019","5","36330","2","0","0"
"323","1","0.472646","0.469162","3","05-08-2019","2019","5","56331","8","0","0"
"324","1","0.785391","0.793439","4","02-07-2019","2019","8","22255","7","0","0"
"325","1","0.484017","0.465567","3","27-04-2019","2019","5","53148","4","0","0"
"326","1","0.481252","0.475242","3","29-03-2019","2019","5","74797","3","0","0"
"327","0","0.144715","0.15565","3","15-10-2019","2019","2","85605","10","0","0"
"328","1","0.576032","0.564816","2","20-08-2019","2019","6","61288","8","0","0"
"329","1","0.702962","0.69222","3","04-01-2019","2019","7","76670","1","0","0"
"330","1","0.863376","0.85874","4","30-08-2019","2019","9","69143","8","0","0"
"331","0","0.509971","0.493621","4","04-11-2019","2019","5","18240","11","0","0"
"332","1","0.765249","0.749521","2","15-03-2019","2019","7","32645","3","0","0"
"333","0","0.279659","0.264751","4","11-09-2019","2019","3","52108","9","0","0"
"334","0","0.438737","0.452875","3","16-09-2019","2019","5","76301","9","0","0"
"335","1","0.642764","0.636266","1","21-01-2019","2019","6","10676","1","0","0"
"336","0","0.157192","0.172397","3","15-10-2019","2019","2","91204","10","0","0"
"337","1","0.375824","0.356584","4","14-02-2019","2019","4","10096","2","0","0"
"338","1","0.665506","0.674921","1","10-12-2019","2019","7","79274","12","0","0"
"339","1","0.849246","0.842491","3","21-11-2019","2019","8","3417","11","0","0"
"340","1","0.531442","0.545935","3","09-02-2019","2019","5","19757","2","0","0"
"341","1","0.855013","0.842454","3","06-06-2019","2019","8","25700","6","0","0"
"342","0","0.843301","0.841988","1","05-06-2019","2019","8","71404","6","0","0"
"343","0","0.173602","0.158365","3","07-02-2019","2019","2","67786","2","0","0"
"344","1","0.278077","0.265733","4","21-09-2019","2019","3","39941","9","0","0"
"345","0","0.123155","0.132057","2","21-02-2019","2019","1","84603","2","0","0"
"346","1","0.84679","0.854158","3","08-08-2019","2019","9","11529","8","0","0"
"347","0","0.219655","0.203884","4","13-02-2019","2019","2","97829","2","0","0"
"348","1","0.668359","0.659887","4","17-09-2019","2019","7","62489","9","0","0"
"349","0","0.140475","0.141686","2","05-02-2019","2019","1","1074","2","0","0"
"350","0","0.414935","0.42719","4","10-05-2019","2019","4","2108","5","0","0"
"351","0","0.2131","0.203847","2","18-03-2019","2019","2","10433","3","0","0"
"352","0","0.785447","0.772215","3","28-12-2019","2019","8","86516","12","0","0"
"353","0","0.123722","0.125839","3","08-04-2019","2019","1","66841","4","0","0"
"354","0","0.545145","0.533215","1","14-06-2019","2019","5","61200","6","0","0"
"355","1","0.844532","0.834266","4","20-04-2019","2019","8","88665","4","0","0"
